Accession,Control-1,Control-2,Control-3,Treat2-1,Treat2-2
Q9UGU0,0.087592203,0.233091475,0.185780916,-0.112380588,-0.20177775
A8K2P3,0.556652868,0.316411988,0.311330188,-0.232632208,-0.240231395
O94776,0.18267868,0.130466553,0.040372292,-0.173730618,-0.145830686
Q96BF6,0.502235223,0.303151591,0.289677665,-0.159268855,-0.115270204
B4E325,0.352719522,0.332449156,0.167890985,-0.197731603,-0.075575431
B4DXX1,0.175863805,0.047322775,0.148710116,-0.132334041,-0.273792491
K7ELS0,0.331646629,0.355540237,-0.01888037,-0.737849618,-0.610903356
Q6UXP6,-0.045484622,0.133600007,0.23711593,-0.715725334,-0.440951758
B3KVY9,0.340548343,0.424808056,0.194532204,-0.090702967,-0.210065999
Q8IUH3,0.465652148,0.416938193,0.184856963,-0.236230214,-0.194417543
D6RAP6,0.186558716,0.203970168,0.179179355,-0.230980624,-0.018657106
A6PVJ3,0.08070687,0.065916513,0.138698074,-0.105357528,-0.275615183
Q6RFH5,0.222958369,0.041606768,0.156248492,-0.205977042,-0.172519464
Q12962,0.361874592,0.167382616,0.189199587,-0.328208376,-0.146956651
A0A024R172,0.329047915,0.305102604,0.467001434,-0.161514488,0.03883053
A0A0S2Q0B1,0.255731296,0.129363821,0.153905869,-0.154949927,-0.047582644
E2CZ46,0.017795421,-0.077972826,0.080707708,-0.286526065,-0.484124509
Q9NZL4,0.143744249,0.10981641,0.22919618,-0.179539427,-0.053614135
B4DEY6,0.617871058,0.301526818,0.368693749,-0.183697522,-0.25579818
Q96IS9,0.09449815,0.123920614,0.247315382,-0.154341066,-0.103023117
C9JJ68,0.54162174,0.182610503,0.789661436,-0.859867831,-0.954401957
A0A0A0MTB8,-0.00954945,0.169728699,0.069958112,-0.206588233,-0.331774438
B7Z6H4,0.318543862,0.150777969,0.129000864,-0.137515739,-0.15130261
B2RCD8,0.378620597,0.408436358,0.52840835,-0.322860991,0.075419296
E7EVG2,0.445191756,0.419279766,0.140672604,-0.223683907,-0.241222619
H0YJ17,0.140043099,0.146305729,0.127270682,-0.237299202,-0.032593036
B4DVW7,0.174851791,0.212587905,0.035372044,-0.164746718,-0.136160014
Q02040,0.396396448,0.270597989,0.101200869,-0.263713744,-0.215672802
B4DXD8,0.781599654,0.302004689,0.291653938,-1.020361431,-0.670681911
A6H8Z4,0.442668287,0.375159039,0.139744835,-0.245779346,-0.172017647
A0A0G2UUJ1,0.463355371,0.530200196,0.258923824,-0.293887284,-0.016976526
C9J7T7,0.316053585,0.075945461,0.342906775,-0.206389327,-0.217757084
A0A087WWP4,0.265781824,0.15705055,0.14958361,-0.20195348,-0.021218765
D6RC71,0.025508866,0.11502665,0.250631805,-0.201591618,-0.250450639
Q9Y3A4,0.293697414,0.121722322,0.095270655,-0.138950786,-0.268537006
A0A024R6B4,0.278452408,0.094939375,0.230651502,-0.061429132,-0.20163994
B4DVE4,0.308667905,0.159766171,0.235641535,-0.282110636,-0.020536138
Q99856,0.46156768,0.436773054,0.241616401,0.026587048,-0.262376353
B3KY39,0.141913243,0.07857834,0.114235439,-0.096510383,-0.371510126
Q6YHU6,0.261114062,0.288792371,0.117112014,-0.02273096,-0.078976672
F8WE91,0.659686527,0.264663705,0.235738994,-0.498878219,-0.463080898
P52735,0.329465375,0.063132691,0.233479381,-0.185301954,-0.186956988
Q8TDI0,0.092510156,-0.015982911,0.128101428,-0.134903893,-0.283996461
A0A0A0MSH9,0.31202348,0.087192096,0.273415705,-0.121787359,-0.114442272
B3KX12,-0.068603542,0.04977395,-0.008576359,-0.209383825,-0.425805075
F5GXT2,0.04635875,-0.058047988,-0.035785099,-0.226708588,-0.476940318
