name	QC-1	QC-2	QC-3	QC-4	QC-5
M353T474	5019.454286	5154.4675	6194.805625	5098.629222	2478.545833
M563T663	865.6140909	926.4768709	484.662739	1015.725772	606.8712222
M160T478	823.1843948	1284.399948	1241.318288	651.456	1324.522834
M246T669	1097.460883	531.0745	1049.319623	681.9057474	814.070638
M872T311_1	1041.248576	1078.4875	1105.658231	481.0256816	834.407
M521T356	4459.973267	5473.815437	4765.920882	5009.685	8459.349377
M657T659	854.9038889	1038.479	1633.677242	899.829	1377.901538
M429T88	4206.533417	3090.67464	1776.615789	2878.481213	3465.09896
M360T945	1102.230529	1325.913172	1237.11	812.7	625.57
M87T608	2117.464674	2556.154282	1299.084	2808.8772	3012.157793
M353T365	2384.650871	2938.428896	1333.745	1748.661143	2322.512387
M271T74	2529.851782	3111.607787	1389.198115	3283.969509	3071.849023
M367T68	4822.2125	3772.1088	5729.347	4334.077786	2457.923815
M295T663_2	237.5213045	413.0885145	519.7030479	553.9093187	523.9015599
M684T666	6091.335167	3147.031	7869.035707	6322.977158	6555.014116
M570T520	852.8177778	428.5771429	475.59375	538.4530151	567.2514106
M998T347	3579.452227	3670.331745	2426.745083	4297.5108	2066.866389
M110T204	3608.456444	4313.014565	4187.862136	1827.449471	3274.73036
M476T71	1182.584362	1487.955821	1042.442857	2037.122579	1165.527692
M836T329_1	1450.401944	2636.938916	1812.39645	1348.357143	2319.932626
M722T477	2422.54715	1142.24	2196.8683	2436.486409	2848.446289
M979T349	13080.55792	22783.70359	23472.97008	14244.04832	14266.53454
M123T445	10177.50424	11251.15302	12943.95079	5801.801364	7956.856182
M657T352	2853.02325	4537.714886	4677.307011	6599.28349	4288.196403
M179T710	1289.734588	1715.710765	1277.413846	2490.505148	1680.88896
M391T912	703.0048995	1120.6785	534.315	953.3113542	1107.257887
M619T280	933.7098	2101.214589	2104.224701	1733.542756	1489.452091
M793T331	11636.15116	16200.82303	8548.242857	11869.81045	18250.15205
M322T672	10737.25561	8050.050885	6378.939156	12357.828	6795.614604
M348T304	1082.957688	2181.050033	2659.288852	2159.62404	2529.903255
M102T90	8383.390875	4946.384613	7805.586196	4579.857533	5016.618923
M192T89	1832.133333	4085.71475	3723.977647	2880.365143	2688.829786
M393T455	1092.689174	1228.157123	1040.107059	485.6103077	1088.71264
M189T367	762.2222222	944.5358182	1633.006571	1176.369231	1067.146667
M787T301	335.4827118	374.3423796	294.2397577	170.2588394	227.5389267
M399T899	1295.522824	2228.804474	2425.414342	1593.784148	1337.545
M328T753	1406.526	2169.797684	2485.304231	3114.835059	3139.8609
M330T741	273.0878228	539.1149089	645.3023574	419.4361708	494.5513557
M412T475	1299.891667	1774.045349	833	1909.435727	1412.863636
M594T604	1567.047	1054.3461	1360.133857	1142.582	664.7175625
M242T79	2217.110435	2101.5865	2327.456303	1634.38	1002.808182
M290T478	2104.2894	1319.83	1226.494167	1608.295444	2408.963163
M294T756_1	1511.484	744.5285714	1340.646154	1039.296143	856.278
M914T327	1791.075	2417.233194	1571.037571	2651.6532	3290.177318
M579T816	140.0203939	177.4253963	192.7920532	81.98687744	184.2454102
M221T663	3554.4994	3462.490588	3616.365689	5727.427364	6162.58612
M620T78	1524.980375	2201.227684	923.03325	1614.499031	1936.933395
M608T350_1	12274.27795	11726.89705	20747.23729	12159.3688	19766.09377
M204T327	834.4506667	1200.871474	741.4431538	759.3829412	1379.252382
M468T68	1247.6625	2355.278471	2518.418667	2104.475333	3062.1125
M858T157	37139.97953	36237.63858	23113.93997	18251.02967	25905.56441
M517T659	553.9387442	742.7228571	1153.315824	899.9066842	647.6601563
M764T352	9440.70435	10021.90214	4486.521333	10438.65233	7373.7499
M376T667	39862.60538	39479.81	24827.00622	39612.79785	19852.749
M409T731_1	285.0818888	119.2234294	206.840332	267.7705078	256.5981852
M238T78	1261.998375	1940.187718	2749.667217	1561.124444	2123.916
M288T668_1	227.4141981	169.4704087	134.2757389	285.179587	266.7415636
M460T683	2391.327789	3787.376686	2365.626327	1968.12	3693.820785
M647T60	704.2442667	1186.644509	718.3046064	880.0741815	560.3634033
M642T349	2026.3851	3162.051375	2738.2103	4131.680647	2210.477237
M78T103	779.9	1318.196581	1041.035559	748.981768	1456.28603
M118T511	8697.986429	19155.96121	12155.0037	11562.52883	13926.46107
M481T81	2689.849152	2880.69329	1260.369091	2029.9776	1999.803474
M289T351	30671.98919	28050.36449	55160.04682	34344.8427	33744.50647
M198T542	32630.7065	36091.83742	36837.29742	14881.82421	35555.69961
M357T464	1541.888073	686.2989474	1432.942235	1198.991023	975.4227702
M183T607	1131.041676	1037.601364	2026.729004	1376.367382	1162.43748
M317T243	4892.065171	8561.274074	7165.717707	8628.558098	4398.033314
M458T875	504.2601929	423.6967468	338.77771	732.719339	475.8952765
M477T520	478.8907471	697.835	311.7897217	537.5923739	694.1415385
M165T563	659.297	342.738	815.3384615	823.0686429	800.34885
M515T639	54.27762379	127.3539352	92.92933273	86.67997472	80.86751302
M161T127	40620.1919	74405.65333	39499.59682	71041.78331	70927.89074
M356T659	363.4227783	590.8783854	473.1316566	606.257137	291.0764323
M791T350	16908.48	12222.15174	26858.36747	17559.00939	16632.66951
M376T656	534.8615519	360.5673	535.7269757	457.6178792	239.0848796
M388T484	941.81535	1310.466667	1365.471429	1047	1953.056102
M744T320	2375.5555	1671.1875	2255.896708	1007.874571	2170.661217
M265T746	827.8977865	723.7094345	1064.674866	1021.216881	461.3486667
M292T652	2097.036333	1322.28125	2423.184444	1929.143286	1157.766667
M477T564	176.7643229	432.6	291.1468567	305.321	324.5182222
M518T892	762.8035714	409.3130859	488.7847833	372.0469796	548.8193248
M871T874	64.00481535	78.14083862	42.82923816	80.43834164	102.2702671
M900T353	4545.088075	2990.469036	2453.065429	4487.145469	5280.157565
M251T94	12283.99804	14980.55162	19831.0215	9322.583611	11385.06947
M240T666	6905.825583	9818.116211	5961.51556	6292.639143	11432.72466
M541T664	16779.83817	11719.526	13299.02824	22026.7951	23604.76018
M366T317	6413.672455	6491.388	5435.4	7429.783577	11119.51871
