ID	QG-B1-1	QG-B1-2	QG-B1-3	QB-B1-1	QB-B1-2	QB-B1-3
Q2F5R6	0.656940669792469	0.887506441114177	0.635717459208405	-1.08434603983065	-1.0958185302844	 
H9J5L6	0.693075012688659	0.867785423318522	0.620916463320577	 	-1.11305838673929	-1.06871851258847
Q9NBL4	0.738152234173066	1.1862794159347	0.780204969512267	-0.904414838539461	-0.88027151864389	-0.919950262436682
Q2F644	1.58457165278121	0.127033219462161	0.712625943796962	-0.802566206196282	-0.866280180644129	-0.755384429199918
Q6URH4	1.35109581236744	0.915432894569456	0.309053594360879	-0.735126711327259	-0.861240821328836	-0.97921476864168
H9J7S2	0.0350401356008758	1.37193826509383	1.01949949771184	-0.842249161599204	-0.554517688759299	-1.02971104804804
H9JK06	0.97266486094011	1.35167159020957	0.178466417797301	-0.920254551921271	-1.01031603811469	-0.572232278911016
H9JRR1	0.919866358094009	0.882131147221704	0.935011782865887	-0.869142020213958	-0.961965504917534	-0.905901763050108
H9J454	1.01069111076389	0.985787778304466	0.00529727669852958	 	-0.96123985018768	-1.04053631557921
H9J6Z4	0.699666108934691	 	1.01064235060406	-0.970245197679068	 	-0.740063261859683
